County,Total,Households,Area_sq_km,lon,lat
BARINGO,555561,110649,11015.34,35.952537,0.512912
BOMET,724186,142361,2471.3,35.278005,-0.690131
BUNGOMA,1375063,270824,3032.15,34.672536,0.737046
BUSIA,743946,154225,1695.03,34.210571,0.428414
ELGEYO MARAKWET,369998,77555,3029.78,35.564093,0.806011
EMBU,516212,131683,2818.04,37.653906,-0.5982
GARISSA,623060,98590,44175.02,40.408457,-0.564679
HOMA BAY,963794,206255,3183.29,34.411083,-0.640985
ISIOLO,143294,31326,25336.07,38.614718,0.949302
KAJIADO,687312,173464,21900.97,36.980268,-2.221971
KAKAMEGA,1660651,355679,3051.23,34.654844,0.308499
KERICHO,758339,160134,2478.99,35.319833,-0.297842
KIAMBU,1623282,469244,2543.42,36.79929,-1.060698
KILIFI,1109735,199764,12609.74,39.63501,-3.279972
KIRINYAGA,528054,154220,1479.09,37.302006,-0.517766
KISII,1152282,245029,1317.53,34.766895,-0.782524
KISUMU,968909,226719,2085.93,34.953647,-0.167225
KITUI,1012709,205491,30496.51,38.376101,-1.519146
KWALE,649931,122047,8270.15,39.174233,-4.242667
LAIKIPIA,399227,103114,9461.92,36.814178,0.311627
LAMU,101539,22184,6273.12,40.688214,-2.03752
MACHAKOS,1098584,264500,6208.24,37.352277,-1.327138
MAKUENI,884527,186478,8008.75,37.865047,-2.211917
MANDERA,1025756,125497,25991.47,40.704671,3.46712
MARSABIT,291166,56941,70961.19,37.76822,2.772167
MERU,1356301,319616,6936.24,37.750761,0.159398
MIGORI,917170,180211,2596.44,34.42681,-1.008592
MOMBASA,939370,268700,218.86,39.632129,-3.998813
'MURANG''A',942581,255696,2558.82,37.035566,-0.804314
NAIROBI,3138369,985016,695.1,36.844534,-1.296975
NAKURU,1603325,409836,7495.07,36.036261,-0.385212
NANDI,752965,154073,2884.18,35.156125,0.143371
NAROK,850920,169220,17933.05,35.686784,-1.227452
NYAMIRA,598252,131039,899.33,34.955612,-0.644917
NYANDARUA,596268,143879,3245.25,36.494076,-0.374727
NYERI,693558,201703,3337.09,36.965186,-0.407168
SAMBURU,223947,47354,21022.15,37.184377,1.183862
SIAYA,842304,199034,2530.38,34.279374,0.039184
TAITA TAVETA,284657,71090,17084.04,38.376101,-3.551502
TANA RIVER,240075,47414,38436.91,39.536272,-1.584971
THARAKA NITHI,365330,88803,2638.83,37.882411,-0.227324
TRANS NZOIA,818757,170117,2495.53,34.949297,1.030597
TURKANA,855399,123191,68680.29,35.401457,3.318344
UASIN GISHU,894179,202291,3345.21,35.306307,0.555288
VIHIGA,554622,123347,530.9,34.717749,0.0785
WAJIR,661941,88574,56685.83,40.07933,1.895541
WEST POKOT,512690,93777,9169.41,35.316901,1.575837
