YEAR,STATE,SH_ID,SH_NAME,ORG_COUNT,SH_ZIP,SH_TYPE,Beg_Ct_D,Intake_Pub_Total_D,Intake_In_Comm_Total_D,Intake_Out_Comm_Total_D,Intake_ORE_Total_D,Total_Intake_D,ORE_Intake_UU_D,Total_Intake_Adj_D,Total_Adoptions_D,Transfer_In_Comm_Total_D,Transfer_Out_Comm_Total_D,RTO_D,Return_Habitat_D,Total_Euth_D,ORE_Euth_UU_D,Total_Euth_Adj_D,Sub_Outcomes_D,Died_Lost_D,Total_Outcomes_D,End_Count_D,Begin_Count_C,Intake_Pub_Total_C,Intake_In_Comm_Total_C,Intake_Out_Comm_Total_C,Intake_ORE_Total_C,Total_Intake_C,ORE_Intake_UU_C,Total_Intake_Adj_C,Total_Adoptions_C,Transfer_In_Comm_Total_C,Transfer_Out_Comm_Total_C,RTO_C,Return_Habitat_C,Total_Euth_C,ORE_Euth_UU_C,Total_Euth_Adj_C,Sub_Outcomes_C,Died_Lost_C,Total_Outcomes_C,End_Count_C
2014,AL,ARF,Animal Rescue Foundation,1,36605,AG,84,324,3,364,0,691,0,691,458,0,197,0,0,28,0,28,683,0,683,82,19,4,5,9,0,18,0,18,12,0,0,0,0,1,0,1,13,0,13,19
2014,AL,CMAS,City of Mobile Animal Shelter,1,36633,AC,106,2711,0,0,33,2744,33,2711,600,153,266,256,3,1321,33,1288,2566,114,2680,137,98,1117,0,0,16,1133,16,1117,157,36,7,9,4,746,16,730,943,229,1172,44
2014,AL,CTYPR,City of Prichard Animal Control,1,36610,AC,7,709,0,0,70,779,33,746,28,13,72,76,0,518,39,479,668,58,726,21,1,100,0,0,48,148,26,122,0,0,9,3,0,115,26,89,101,19,120,3
2014,AL,FOMAS,Friends of the Mobile Animal Shelter,1,36604,AG,16,0,120,0,0,120,0,120,120,1,2,0,0,0,0,0,123,4,127,10,8,0,24,0,0,24,0,24,26,0,0,0,0,0,0,0,26,0,26,6
2014,AL,MBCAS,Mobile County Animal Shelter,1,36608,AC,103,2340,0,0,56,2396,56,2340,839,0,804,190,0,602,56,546,2379,15,2394,51,29,531,0,0,10,541,10,531,95,0,239,4,0,222,10,212,550,10,560,0
2014,AL,MSPCA,Mobile SPCA,1,36608,AG,45,465,28,199,0,692,0,692,525,0,74,8,0,38,0,38,645,5,650,87,108,442,3,1,0,446,0,446,373,0,0,0,0,56,0,56,429,5,434,120
2014,AZ,AHAZ,Almost Home Boxer Rescue,1,85070,AG,13,5,4,2,0,11,0,11,20,0,0,0,0,0,0,0,20,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,AZ,AAWL,Arizona Animal Welfare League,1,85034,AG,140,1052,487,660,0,2199,0,2199,2088,6,22,25,0,38,0,38,2179,5,2184,155,157,1587,375,244,0,2206,0,2206,2042,1,6,7,0,68,0,68,2124,87,2211,152
2014,AZ,AHS,Arizona Humane Society,1,85041,TS,215,11219,149,188,2780,14336,2780,11556,6596,413,650,666,0,5916,2780,3136,11461,113,11574,197,235,16245,4,36,1127,17412,1127,16285,6032,669,476,282,0,9235,1127,8108,15567,155,15722,798
2014,AZ,FAR,Foothills Animal Rescue,1,85255,AG,29,94,268,0,0,362,0,362,340,7,0,5,0,9,0,9,361,1,362,29,40,170,38,0,0,208,0,208,189,2,0,0,0,11,0,11,202,2,204,44
2014,AZ,HALO,Helping Animals Live On,1,85017,AG,214,554,5440,0,0,5994,0,5994,5627,175,53,0,0,1,0,1,5856,49,5905,302,167,121,1379,9,0,1509,0,1509,1437,49,15,0,0,0,0,0,1501,49,1550,124
2014,AZ,HSOW,Humane Society of Wickenburg,1,85390,AG,20,77,10,0,0,87,0,87,86,1,0,10,0,1,0,1,98,0,98,17,13,30,0,0,0,30,1,29,26,1,0,1,0,4,1,3,31,0,31,11
2014,AZ,MCACC,Maricopa County Animal Care and Control,1,85009,AC,1049,32701,3,0,0,32704,0,32704,10384,6181,3726,4257,0,7849,0,7849,32397,306,32703,1049,506,3534,163,0,0,3697,0,3697,1120,1327,317,27,0,812,0,812,3603,95,3698,506
2014,AZ,SVAS,Sun Valley Animal Shelter,1,85307,AG,53,427,1,0,0,428,0,428,439,0,0,2,0,3,0,3,444,0,444,37,50,218,0,0,0,218,0,218,201,0,0,1,0,12,0,12,214,1,215,53
